GDP_Type,Guardium_Version,DataSource,DataSource_Version,VA_supported,Classification_supported,Notes,Download_URL,Readme_URL
GDSC,GDSC 3.5.0,Snowflake,1.0.1,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-snowflake-guardium/README.md
GDSC,GDSC 3.6.0,Snowflake,1.0.1,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-snowflake-guardium/README.md
GDSC,GDSC SaaS,Snowflake,1.0.1,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-snowflake-guardium/README.md
GDP,GDP 11.5,Amazon RDS for Oracle,19c,,,,https://github.com/IBM/universal-connectors/raw/release-v1.2.0/filter-plugin/logstash-filter-oua-guardium/OracleUnifiedAuditPackage/OracleUnifiedAudit/guardium-oua-uc.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-oua-guardium/README.md
GDP,GDP 12.0,Amazon RDS for Oracle,19c,,,,https://github.com/IBM/universal-connectors/raw/release-v1.2.0/filter-plugin/logstash-filter-oua-guardium/OracleUnifiedAuditPackage/OracleUnifiedAudit/guardium-oua-uc.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-oua-guardium/README.md
GDP,GDP 12.1,Amazon RDS for Oracle,19c,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-oua-guardium/README.md
GDP,GDP 12.2,Amazon RDS for Oracle,19c,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-oua-guardium/README.md
GDP,GDP 11.5,Amazon RDS for Oracle,21,,,,https://github.com/IBM/universal-connectors/raw/release-v1.2.0/filter-plugin/logstash-filter-oua-guardium/OracleUnifiedAuditPackage/OracleUnifiedAudit/guardium-oua-uc.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-oua-guardium/README.md
GDP,GDP 12.0,Amazon RDS for Oracle,21,,,,https://github.com/IBM/universal-connectors/raw/release-v1.2.0/filter-plugin/logstash-filter-oua-guardium/OracleUnifiedAuditPackage/OracleUnifiedAudit/guardium-oua-uc.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-oua-guardium/README.md
GDP,GDP 12.1,Amazon RDS for Oracle,21,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-oua-guardium/README.md
GDP,GDP 12.2,Amazon RDS for Oracle,21,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-oua-guardium/README.md
GDP,GDP 11.5,Neptune,1.4.7,,,,https://raw.githubusercontent.com/IBM/universal-connectors/refs/heads/main/filter-plugin/logstash-filter-neptune-aws-guardium/logstash-filter-neptune_guardium_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDP,GDP 12.0,Neptune,1.4.7,,,,https://raw.githubusercontent.com/IBM/universal-connectors/refs/heads/main/filter-plugin/logstash-filter-neptune-aws-guardium/logstash-filter-neptune_guardium_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDP,GDP 12.1,Neptune,1.4.7,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDP,GDP 12.2,Neptune,1.4.7,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDSC,GDSC 3.3.0,Neptune,1.4.3,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDSC,GDSC 3.4.0,Neptune,1.4.3,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDSC,GDSC 3.5.0,Neptune,1.4.3,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDSC,GDSC 3.6.0,Neptune,1.4.3,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDSC GDSC SaaS,GDSC SaaS,Neptune,1.4.3,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GDP,GDP 12.2,Amazon OpenSearch,1,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-opensearch-guardium/README.md
GDP,GDP 11.5,Teradata VantageCloud Lake,17.20,,,,https://github.com/IBM/universal-connectors/raw/refs/heads/main/filter-plugin/logstash-filter-teradatadb-guardium/TeradataOverJdbcPackage/logstash-filter-teradatadb_guardium_plugin_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-teradatadb-guardium/README.md
GDP,GDP 12.0,Teradata VantageCloud Lake,17.20,,,,https://github.com/IBM/universal-connectors/raw/refs/heads/main/filter-plugin/logstash-filter-teradatadb-guardium/TeradataOverJdbcPackage/logstash-filter-teradatadb_guardium_plugin_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-teradatadb-guardium/README.md
GDP,GDP 12.1,Teradata VantageCloud Lake,17.20,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-teradatadb-guardium/README.md
GDP,GDP 12.2,Teradata VantageCloud Lake,17.20,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-teradatadb-guardium/README.md
GDP,GDP 11.5,Teradata VantageCloud Lake,20.20,,,,https://github.com/IBM/universal-connectors/raw/refs/heads/main/filter-plugin/logstash-filter-teradatadb-guardium/TeradataOverJdbcPackage/logstash-filter-teradatadb_guardium_plugin_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-teradatadb-guardium/README.md
GDP,GDP 12.0,Teradata VantageCloud Lake,20.20,,,,https://github.com/IBM/universal-connectors/raw/refs/heads/main/filter-plugin/logstash-filter-teradatadb-guardium/TeradataOverJdbcPackage/logstash-filter-teradatadb_guardium_plugin_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-teradatadb-guardium/README.md
GDP,GDP 12.1,Teradata VantageCloud Lake,20.20,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-teradatadb-guardium/README.md
GDP,GDP 12.2,Teradata VantageCloud Lake,20.20,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-teradatadb-guardium/README.md
